UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,EFYGUKN
222576,45,-2,1,R,4568,R,1382,R,3186,R,33,R,12,R,21,R,135,R,44,R,91,R,313,R,86,R,227,R,2018,R,578,R,1440,R,3,R,0,R,3,R,1917,R,615,R,1302,R,94,R,29,R,65,R,55,R,18,R,37,R,0,R,0,R,0,2020,,,,,,,,,
222576,51,-2,1,R,2632,R,1050,R,1582,R,29,R,16,R,13,R,112,R,42,R,70,R,64,R,23,R,41,R,869,R,311,R,558,R,2,R,2,R,0,R,1439,R,600,R,839,R,87,R,43,R,44,R,30,R,13,R,17,R,0,R,0,R,0,2020,,,,,,,,,
222576,59,-2,1,R,157,R,60,R,97,R,4,R,4,R,0,R,5,R,3,R,2,R,12,R,2,R,10,R,50,R,16,R,34,R,0,R,0,R,0,R,79,R,33,R,46,R,4,R,1,R,3,R,3,R,1,R,2,R,0,R,0,R,0,2020,,,,,,,,,
222576,60,-2,1,R,4411,R,1322,R,3089,R,29,R,8,R,21,R,130,R,41,R,89,R,301,R,84,R,217,R,1968,R,562,R,1406,R,3,R,0,R,3,R,1838,R,582,R,1256,R,90,R,28,R,62,R,52,R,17,R,35,R,0,R,0,R,0,2020,,,,,,,,,
222822,1,1,999,R,5944,R,2066,R,3878,R,36,R,8,R,28,R,59,R,19,R,40,R,826,R,228,R,598,R,1769,R,669,R,1100,R,9,R,5,R,4,R,2992,R,1028,R,1964,R,159,R,62,R,97,R,38,R,17,R,21,R,56,R,30,R,26,2020,,,,,,,,,
222822,2,2,1,R,5944,R,2066,R,3878,R,36,R,8,R,28,R,59,R,19,R,40,R,826,R,228,R,598,R,1769,R,669,R,1100,R,9,R,5,R,4,R,2992,R,1028,R,1964,R,159,R,62,R,97,R,38,R,17,R,21,R,56,R,30,R,26,2020,,,,,,,,,
222822,3,-2,1,R,3874,R,1250,R,2624,R,26,R,6,R,20,R,30,R,8,R,22,R,604,R,159,R,445,R,1185,R,420,R,765,R,5,R,2,R,3,R,1879,R,593,R,1286,R,91,R,35,R,56,R,13,R,5,R,8,R,41,R,22,R,19,2020,,,,,,,,,
222822,4,-2,1,R,1058,R,413,R,645,R,9,R,3,R,6,R,6,R,2,R,4,R,147,R,48,R,99,R,371,R,158,R,213,R,1,R,0,R,1,R,469,R,177,R,292,R,24,R,8,R,16,R,1,R,0,R,1,R,30,R,17,R,13,2020,,,,,,,,,
222822,5,-2,1,R,2816,R,837,R,1979,R,17,R,3,R,14,R,24,R,6,R,18,R,457,R,111,R,346,R,814,R,262,R,552,R,4,R,2,R,2,R,1410,R,416,R,994,R,67,R,27,R,40,R,12,R,5,R,7,R,11,R,5,R,6,2020,,,,,,,,,
222822,11,-2,1,R,2070,R,816,R,1254,R,10,R,2,R,8,R,29,R,11,R,18,R,222,R,69,R,153,R,584,R,249,R,335,R,4,R,3,R,1,R,1113,R,435,R,678,R,68,R,27,R,41,R,25,R,12,R,13,R,15,R,8,R,7,2020,,,,,,,,,
