UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR
228608,43,-2,1,R,4843,R,1836,R,3007,R,12,R,3,R,9,R,102,R,39,R,63,R,708,R,206,R,502,R,1438,R,546,R,892,R,14,R,3,R,11,R,2272,R,921,R,1351,R,150,R,55,R,95,R,146,R,63,R,83,R,1,R,0,R,1,2021
228608,44,-2,1,R,602,R,602,Z,0,R,2,R,2,Z,0,R,11,R,11,Z,0,R,59,R,59,Z,0,R,181,R,181,Z,0,R,1,R,1,Z,0,R,299,R,299,Z,0,R,24,R,24,Z,0,R,25,R,25,Z,0,R,0,R,0,Z,0,2021
228608,45,-2,1,R,4241,R,1234,R,3007,R,10,R,1,R,9,R,91,R,28,R,63,R,649,R,147,R,502,R,1257,R,365,R,892,R,13,R,2,R,11,R,1973,R,622,R,1351,R,126,R,31,R,95,R,121,R,38,R,83,R,1,R,0,R,1,2021
228608,51,-2,1,R,36,R,9,R,27,R,1,R,0,R,1,R,0,R,0,R,0,R,2,R,0,R,2,R,13,R,6,R,7,R,2,R,0,R,2,R,15,R,1,R,14,R,2,R,1,R,1,R,1,R,1,R,0,R,0,R,0,R,0,2021
228608,59,-2,1,R,1395,R,314,R,1081,R,5,R,0,R,5,R,39,R,11,R,28,R,321,R,61,R,260,R,340,R,86,R,254,R,8,R,0,R,8,R,587,R,137,R,450,R,42,R,10,R,32,R,52,R,9,R,43,R,1,R,0,R,1,2021
228608,60,-2,1,R,2846,R,920,R,1926,R,5,R,1,R,4,R,52,R,17,R,35,R,328,R,86,R,242,R,917,R,279,R,638,R,5,R,2,R,3,R,1386,R,485,R,901,R,84,R,21,R,63,R,69,R,29,R,40,R,0,R,0,R,0,2021
228635,1,1,999,R,2538,R,1182,R,1356,R,3,R,2,R,1,R,478,R,207,R,271,R,115,R,34,R,81,R,311,R,145,R,166,R,1,R,1,R,0,R,714,R,307,R,407,R,77,R,27,R,50,R,203,R,96,R,107,R,636,R,363,R,273,2021
228635,12,4,3,R,2538,R,1182,R,1356,R,3,R,2,R,1,R,478,R,207,R,271,R,115,R,34,R,81,R,311,R,145,R,166,R,1,R,1,R,0,R,714,R,307,R,407,R,77,R,27,R,50,R,203,R,96,R,107,R,636,R,363,R,273,2021
228644,1,1,999,R,4104,R,1527,R,2577,R,7,R,6,R,1,R,565,R,219,R,346,R,212,R,77,R,135,R,1502,R,486,R,1016,R,4,R,2,R,2,R,1494,R,601,R,893,R,108,R,38,R,70,R,83,R,40,R,43,R,129,R,58,R,71,2021
228644,2,2,1,R,1196,R,423,R,773,R,2,R,2,R,0,R,95,R,28,R,67,R,52,R,19,R,33,R,624,R,206,R,418,R,1,R,1,R,0,R,361,R,148,R,213,R,30,R,7,R,23,R,10,R,6,R,4,R,21,R,6,R,15,2021
228644,3,-2,1,R,1196,R,423,R,773,R,2,R,2,R,0,R,95,R,28,R,67,R,52,R,19,R,33,R,624,R,206,R,418,R,1,R,1,R,0,R,361,R,148,R,213,R,30,R,7,R,23,R,10,R,6,R,4,R,21,R,6,R,15,2021
228644,5,-2,1,R,1196,R,423,R,773,R,2,R,2,R,0,R,95,R,28,R,67,R,52,R,19,R,33,R,624,R,206,R,418,R,1,R,1,R,0,R,361,R,148,R,213,R,30,R,7,R,23,R,10,R,6,R,4,R,21,R,6,R,15,2021
228644,12,4,3,R,2908,R,1104,R,1804,R,5,R,4,R,1,R,470,R,191,R,279,R,160,R,58,R,102,R,878,R,280,R,598,R,3,R,1,R,2,R,1133,R,453,R,680,R,78,R,31,R,47,R,73,R,34,R,39,R,108,R,52,R,56,2021
228644,19,-2,1,R,659,R,246,R,413,R,1,R,1,R,0,R,48,R,14,R,34,R,32,R,10,R,22,R,344,R,117,R,227,R,1,R,1,R,0,R,194,R,89,R,105,R,17,R,4,R,13,R,8,R,5,R,3,R,14,R,5,R,9,2021
