UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW ,YEAR
226091,12,16,2,2,18A,R,518,R,210.0,R,308.0,R,3.0,R,0.0,R,3.0,R,32.0,R,14.0,R,18.0,R,101.0,R,34.0,R,67.0,R,76.0,R,30.0,R,46.0,R,3.0,R,2.0,R,1.0,R,274.0,R,120.0,R,154.0,R,14.0,R,3.0,R,11.0,R,9.0,R,4.0,R,5.0,R,6.0,R,3.0,R,3.0,2020
226091,13,17,2,2,19 ,R,221,R,71.0,R,150.0,R,3.0,R,0.0,R,3.0,R,15.0,R,5.0,R,10.0,R,22.0,R,7.0,R,15.0,R,31.0,R,7.0,R,24.0,R,1.0,R,0.0,R,1.0,R,136.0,R,47.0,R,89.0,R,7.0,R,2.0,R,5.0,R,3.0,R,2.0,R,1.0,R,3.0,R,1.0,R,2.0,2020
226091,14,18,2,2,20 ,R,198,R,86.0,R,112.0,R,0.0,R,0.0,R,0.0,R,11.0,R,5.0,R,6.0,R,55.0,R,15.0,R,40.0,R,25.0,R,11.0,R,14.0,R,2.0,R,2.0,R,0.0,R,94.0,R,50.0,R,44.0,R,3.0,R,0.0,R,3.0,R,5.0,R,1.0,R,4.0,R,3.0,R,2.0,R,1.0,2020
226091,15,19,2,2,21 ,R,99,R,53.0,R,46.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,24.0,R,12.0,R,12.0,R,20.0,R,12.0,R,8.0,R,0.0,R,0.0,R,0.0,R,44.0,R,23.0,R,21.0,R,4.0,R,1.0,R,3.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226091,16,20,2,2,30 ,R,507,R,240.0,R,267.0,R,3.0,R,1.0,R,2.0,R,14.0,R,7.0,R,7.0,R,191.0,R,79.0,R,112.0,R,90.0,R,40.0,R,50.0,R,2.0,R,1.0,R,1.0,R,179.0,R,97.0,R,82.0,R,17.0,R,10.0,R,7.0,R,11.0,R,5.0,R,6.0,R,0.0,R,0.0,R,0.0,2020
226091,41,31,1,1,999,R,67,R,30.0,R,37.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,R,9.0,R,5.0,R,4.0,R,21.0,R,8.0,R,13.0,R,0.0,R,0.0,R,0.0,R,29.0,R,12.0,R,17.0,R,2.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226091,42,32,1,1,999,R,319,R,167.0,R,152.0,R,4.0,R,1.0,R,3.0,R,5.0,R,2.0,R,3.0,R,108.0,R,52.0,R,56.0,R,51.0,R,28.0,R,23.0,R,0.0,R,0.0,R,0.0,R,126.0,R,74.0,R,52.0,R,8.0,R,3.0,R,5.0,R,11.0,R,5.0,R,6.0,R,6.0,R,2.0,R,4.0,2020
226091,43,31,2,2,22 ,R,67,R,30.0,R,37.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,R,9.0,R,5.0,R,4.0,R,21.0,R,8.0,R,13.0,R,0.0,R,0.0,R,0.0,R,29.0,R,12.0,R,17.0,R,2.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226091,44,32,2,2,23 ,R,319,R,167.0,R,152.0,R,4.0,R,1.0,R,3.0,R,5.0,R,2.0,R,3.0,R,108.0,R,52.0,R,56.0,R,51.0,R,28.0,R,23.0,R,0.0,R,0.0,R,0.0,R,126.0,R,74.0,R,52.0,R,8.0,R,3.0,R,5.0,R,11.0,R,5.0,R,6.0,R,6.0,R,2.0,R,4.0,2020
226107,27,10,4,4,10 ,R,289,R,126.0,R,163.0,R,4.0,R,3.0,R,1.0,R,2.0,R,2.0,R,0.0,R,34.0,R,13.0,R,21.0,R,28.0,R,10.0,R,18.0,R,0.0,R,0.0,R,0.0,R,215.0,R,97.0,R,118.0,R,5.0,R,1.0,R,4.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,2020
226107,29,12,4,4,50 ,R,289,R,126.0,R,163.0,R,4.0,R,3.0,R,1.0,R,2.0,R,2.0,R,0.0,R,34.0,R,13.0,R,21.0,R,28.0,R,10.0,R,18.0,R,0.0,R,0.0,R,0.0,R,215.0,R,97.0,R,118.0,R,5.0,R,1.0,R,4.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,2020
226107,30,13,4,4,29A,R,68,R,28.0,R,40.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,6.0,R,1.0,R,5.0,R,9.0,R,5.0,R,4.0,R,0.0,R,0.0,R,0.0,R,53.0,R,22.0,R,31.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226107,31,14,4,4,11A,R,12,R,3.0,R,9.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,10.0,R,2.0,R,8.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226107,32,15,4,4,12A,R,56,R,25.0,R,31.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,4.0,R,0.0,R,4.0,R,9.0,R,5.0,R,4.0,R,0.0,R,0.0,R,0.0,R,43.0,R,20.0,R,23.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226107,33,20,4,4,30 ,R,42,R,15.0,R,27.0,R,2.0,R,1.0,R,1.0,R,1.0,R,1.0,R,0.0,R,3.0,R,0.0,R,3.0,R,3.0,R,1.0,R,2.0,R,0.0,R,0.0,R,0.0,R,32.0,R,11.0,R,21.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226107,35,22,4,4,57 ,R,33,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226107,36,23,4,4,55 ,R,10,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226107,37,24,4,4,56 ,R,23,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226107,47,31,4,4,22 ,R,35,R,10.0,R,25.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,6.0,R,2.0,R,4.0,R,2.0,Z,0.0,R,2.0,Z,0.0,Z,0.0,Z,0.0,R,27.0,R,8.0,R,19.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,2020
226107,48,32,4,4,23 ,R,144,R,73.0,R,71.0,R,2.0,R,2.0,R,0.0,R,1.0,R,1.0,R,0.0,R,19.0,R,10.0,R,9.0,R,14.0,R,4.0,R,10.0,R,0.0,R,0.0,R,0.0,R,103.0,R,56.0,R,47.0,R,4.0,R,0.0,R,4.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,2020
226116,27,10,4,4,10 ,R,264,R,102.0,R,162.0,R,0.0,R,0.0,R,0.0,R,10.0,R,5.0,R,5.0,R,68.0,R,28.0,R,40.0,R,88.0,R,33.0,R,55.0,R,0.0,R,0.0,R,0.0,R,93.0,R,35.0,R,58.0,R,5.0,R,1.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,29,12,4,4,50 ,R,264,R,102.0,R,162.0,R,0.0,R,0.0,R,0.0,R,10.0,R,5.0,R,5.0,R,68.0,R,28.0,R,40.0,R,88.0,R,33.0,R,55.0,R,0.0,R,0.0,R,0.0,R,93.0,R,35.0,R,58.0,R,5.0,R,1.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,30,13,4,4,29A,R,56,R,19.0,R,37.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,12.0,R,5.0,R,7.0,R,25.0,R,7.0,R,18.0,R,0.0,R,0.0,R,0.0,R,16.0,R,6.0,R,10.0,R,2.0,R,0.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,31,14,4,4,11A,R,5,R,1.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3.0,R,1.0,R,2.0,R,0.0,R,0.0,R,0.0,R,2.0,R,0.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,32,15,4,4,12A,R,51,R,18.0,R,33.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,12.0,R,5.0,R,7.0,R,22.0,R,6.0,R,16.0,R,0.0,R,0.0,R,0.0,R,14.0,R,6.0,R,8.0,R,2.0,R,0.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,33,20,4,4,30 ,R,47,R,19.0,R,28.0,R,0.0,R,0.0,R,0.0,R,5.0,R,2.0,R,3.0,R,2.0,R,1.0,R,1.0,R,19.0,R,8.0,R,11.0,R,0.0,R,0.0,R,0.0,R,20.0,R,8.0,R,12.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,35,22,4,4,57 ,R,25,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226116,36,23,4,4,55 ,R,1,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226116,37,24,4,4,56 ,R,24,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226116,47,31,4,4,22 ,R,40,R,13.0,R,27.0,R,0.0,R,0.0,R,0.0,R,4.0,R,2.0,R,2.0,R,7.0,R,1.0,R,6.0,R,13.0,R,4.0,R,9.0,R,0.0,R,0.0,R,0.0,R,15.0,R,6.0,R,9.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226116,48,32,4,4,23 ,R,121,R,51.0,R,70.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,47.0,R,21.0,R,26.0,R,31.0,R,14.0,R,17.0,R,0.0,R,0.0,R,0.0,R,42.0,R,15.0,R,27.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226134,2,12,1,1,999,R,989,R,503.0,R,486.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,R,2.0,R,2.0,R,0.0,R,936.0,R,468.0,R,468.0,R,0.0,R,0.0,R,0.0,R,17.0,R,13.0,R,4.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,30.0,R,17.0,R,13.0,2020
226134,3,13,1,1,999,R,320,R,144.0,R,176.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,2.0,R,2.0,R,0.0,R,301.0,R,131.0,R,170.0,R,0.0,R,0.0,R,0.0,R,5.0,R,4.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,10.0,R,6.0,R,4.0,2020
226134,4,20,1,1,999,R,125,R,60.0,R,65.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,124.0,R,59.0,R,65.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020
226134,18,10,3,3,10 ,R,989,R,503.0,R,486.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,R,2.0,R,2.0,R,0.0,R,936.0,R,468.0,R,468.0,R,0.0,R,0.0,R,0.0,R,17.0,R,13.0,R,4.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,30.0,R,17.0,R,13.0,2020
226134,20,12,3,3,50 ,R,989,R,503.0,R,486.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,R,2.0,R,2.0,R,0.0,R,936.0,R,468.0,R,468.0,R,0.0,R,0.0,R,0.0,R,17.0,R,13.0,R,4.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,30.0,R,17.0,R,13.0,2020
226134,21,13,3,3,29A,R,320,R,144.0,R,176.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,2.0,R,2.0,R,0.0,R,301.0,R,131.0,R,170.0,R,0.0,R,0.0,R,0.0,R,5.0,R,4.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,10.0,R,6.0,R,4.0,2020
226134,22,14,3,3,11A,R,61,R,51.0,R,10.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,58.0,R,48.0,R,10.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,2020
226134,23,15,3,3,12A,R,259,R,93.0,R,166.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,2.0,R,2.0,R,0.0,R,243.0,R,83.0,R,160.0,R,0.0,R,0.0,R,0.0,R,4.0,R,3.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,8.0,R,4.0,R,4.0,2020
