UNITID,CIPCODE,MAJORNUM,AWLEVEL,XCTOTALT,CTOTALT,XCTOTALM,CTOTALM,XCTOTALW,CTOTALW,XCAIANT,CAIANT,XCAIANM,CAIANM,XCAIANW,CAIANW,XCASIAT,CASIAT,XCASIAM,CASIAM,XCASIAW,CASIAW,XCBKAAT,CBKAAT,XCBKAAM,CBKAAM,XCBKAAW,CBKAAW,XCHISPT,CHISPT,XCHISPM,CHISPM,XCHISPW,CHISPW,XCNHPIT,CNHPIT,XCNHPIM,CNHPIM,XCNHPIW,CNHPIW,XCWHITT,CWHITT,XCWHITM,CWHITM,XCWHITW,CWHITW,XC2MORT,C2MORT,XC2MORM,C2MORM,XC2MORW,C2MORW,XCUNKNT,CUNKNT,XCUNKNM,CUNKNM,XCUNKNW,CUNKNW,XCNRALT,CNRALT,XCNRALM,CNRALM,XCNRALW,CNRALW,YEAR
222567,24.0102,1,3,R,352,R,138,R,214,R,2,R,0,R,2,R,36,R,21,R,15,R,42,R,11,R,31,R,133,R,49,R,84,Z,0,Z,0,Z,0,R,121,R,50,R,71,Z,0,Z,0,Z,0,R,15,R,7,R,8,R,3,Z,0,R,3,2023
222567,26.0101,1,3,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2023
222567,27.0101,1,3,R,11,R,11,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,5,R,5,Z,0,Z,0,Z,0,Z,0,R,5,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2023
222567,31.0501,1,3,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2023
222567,40.0101,1,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,2023
222567,40.0801,1,3,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,2023
222567,41.0301,1,2,R,49,R,42,R,7,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,1,R,1,Z,0,R,14,R,13,R,1,Z,0,Z,0,Z,0,R,31,R,25,R,6,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,2023
222567,41.0301,1,3,R,30,R,26,R,4,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,1,R,1,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,R,22,R,18,R,4,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,2023
222567,42.0101,1,3,R,27,R,4,R,23,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,10,R,1,R,9,Z,0,Z,0,Z,0,R,11,R,1,R,10,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,1,Z,0,R,1,2023
222567,43.0104,1,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2023
222567,43.0104,1,21,R,16,R,6,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,R,4,R,7,Z,0,Z,0,Z,0,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,2023
222567,43.0107,1,3,R,16,R,6,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,R,4,R,7,Z,0,Z,0,Z,0,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,2023
222567,43.0107,1,21,R,51,R,43,R,8,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,3,R,3,Z,0,R,17,R,13,R,4,Z,0,Z,0,Z,0,R,25,R,22,R,3,Z,0,Z,0,Z,0,R,5,R,5,Z,0,Z,0,Z,0,Z,0,2023
