UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN,YEAR
222576,19,-2,1,R,317,R,100,R,217,R,5,R,2,R,3,R,3,R,2,R,1,R,26,R,11,R,15,R,111,R,29,R,82,R,1,Z,0,R,1,R,156,R,51,R,105,R,8,R,3,R,5,R,7,R,2,R,5,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,20,-2,1,R,7281,R,2354,R,4927,R,48,R,17,R,31,R,203,R,71,R,132,R,537,R,192,R,345,R,3496,R,1081,R,2415,R,7,R,2,R,5,R,2690,R,884,R,1806,R,214,R,67,R,147,R,86,R,40,R,46,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,21,-2,999,R,4099,R,1619,R,2480,R,34,R,14,R,20,R,114,R,35,R,79,R,249,R,109,R,140,R,1975,R,753,R,1222,R,1,R,1,Z,0,R,1548,R,623,R,925,R,101,R,42,R,59,R,77,R,42,R,35,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,22,-2,1,R,4099,R,1619,R,2480,R,34,R,14,R,20,R,114,R,35,R,79,R,249,R,109,R,140,R,1975,R,753,R,1222,R,1,R,1,Z,0,R,1548,R,623,R,925,R,101,R,42,R,59,R,77,R,42,R,35,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,23,-2,1,R,3965,R,1563,R,2402,R,32,R,14,R,18,R,111,R,34,R,77,R,248,R,109,R,139,R,1936,R,738,R,1198,R,1,R,1,Z,0,R,1468,R,587,R,881,R,98,R,41,R,57,R,71,R,39,R,32,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,24,-2,1,R,1130,R,511,R,619,R,7,R,2,R,5,R,32,R,10,R,22,R,47,R,25,R,22,R,585,R,248,R,337,Z,0,Z,0,Z,0,R,397,R,192,R,205,R,28,R,14,R,14,R,34,R,20,R,14,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,25,-2,1,R,2835,R,1052,R,1783,R,25,R,12,R,13,R,79,R,24,R,55,R,201,R,84,R,117,R,1351,R,490,R,861,R,1,R,1,Z,0,R,1071,R,395,R,676,R,70,R,27,R,43,R,37,R,19,R,18,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,31,-2,1,R,134,R,56,R,78,R,2,Z,0,R,2,R,3,R,1,R,2,R,1,Z,0,R,1,R,39,R,15,R,24,Z,0,Z,0,Z,0,R,80,R,36,R,44,R,3,R,1,R,2,R,6,R,3,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,39,-2,1,R,98,R,42,R,56,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,8,R,5,R,3,R,34,R,11,R,23,Z,0,Z,0,Z,0,R,47,R,20,R,27,R,2,R,2,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,40,-2,1,R,2737,R,1010,R,1727,R,23,R,10,R,13,R,79,R,24,R,55,R,193,R,79,R,114,R,1317,R,479,R,838,R,1,R,1,Z,0,R,1024,R,375,R,649,R,68,R,25,R,43,R,32,R,17,R,15,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,41,-2,999,R,7465,R,2496,R,4969,R,49,R,17,R,32,R,221,R,92,R,129,R,480,R,162,R,318,R,3232,R,1011,R,2221,R,8,R,2,R,6,R,3043,R,1058,R,1985,R,231,R,75,R,156,R,201,R,79,R,122,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,42,-2,1,R,7465,R,2496,R,4969,R,49,R,17,R,32,R,221,R,92,R,129,R,480,R,162,R,318,R,3232,R,1011,R,2221,R,8,R,2,R,6,R,3043,R,1058,R,1985,R,231,R,75,R,156,R,201,R,79,R,122,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,43,-2,1,R,5362,R,1653,R,3709,R,30,R,7,R,23,R,138,R,55,R,83,R,423,R,144,R,279,R,2520,R,725,R,1795,R,7,R,1,R,6,R,1991,R,635,R,1356,R,170,R,50,R,120,R,83,R,36,R,47,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,44,-2,1,R,599,R,251,R,348,R,2,Z,0,R,2,R,11,R,6,R,5,R,61,R,25,R,36,R,264,R,105,R,159,Z,0,Z,0,Z,0,R,216,R,95,R,121,R,18,R,7,R,11,R,27,R,13,R,14,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,45,-2,1,R,4763,R,1402,R,3361,R,28,R,7,R,21,R,127,R,49,R,78,R,362,R,119,R,243,R,2256,R,620,R,1636,R,7,R,1,R,6,R,1775,R,540,R,1235,R,152,R,43,R,109,R,56,R,23,R,33,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,51,-2,1,R,2103,R,843,R,1260,R,19,R,10,R,9,R,83,R,37,R,46,R,57,R,18,R,39,R,712,R,286,R,426,R,1,R,1,Z,0,R,1052,R,423,R,629,R,61,R,25,R,36,R,118,R,43,R,75,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,59,-2,1,R,219,R,58,R,161,R,3,Z,0,R,3,R,3,R,2,R,1,R,18,R,6,R,12,R,77,R,18,R,59,R,1,Z,0,R,1,R,109,R,31,R,78,R,6,R,1,R,5,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,60,-2,1,R,4544,R,1344,R,3200,R,25,R,7,R,18,R,124,R,47,R,77,R,344,R,113,R,231,R,2179,R,602,R,1577,R,6,R,1,R,5,R,1666,R,509,R,1157,R,146,R,42,R,104,R,54,R,23,R,31,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222822,1,1,999,R,5388,R,1872,R,3516,R,35,R,12,R,23,R,58,R,21,R,37,R,780,R,228,R,552,R,1638,R,606,R,1032,R,1,R,0,R,1,R,2522,R,879,R,1643,R,138,R,44,R,94,R,118,R,42,R,76,R,98,R,40,R,58,R,0.0,A,,R,0.0,R,5388.0,2023
