UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUKN,EFYGUKN,YEAR
229063,22,-2,1,R,6403,R,2270,R,4133,R,12,R,6,R,6,R,31,R,19,R,12,R,5507,R,1906,R,3601,R,496,R,215,R,281,R,3,R,1,R,2,R,40,R,20,R,20,R,237,R,70,R,167,R,8,R,3,R,5,R,69,R,30,R,39,A,,A,,2025
229063,23,-2,1,R,6403,R,2270,R,4133,R,12,R,6,R,6,R,31,R,19,R,12,R,5507,R,1906,R,3601,R,496,R,215,R,281,R,3,R,1,R,2,R,40,R,20,R,20,R,237,R,70,R,167,R,8,R,3,R,5,R,69,R,30,R,39,A,,A,,2025
229063,24,-2,1,R,1602,R,591,R,1011,R,2,R,1,R,1,R,5,R,4,R,1,R,1387,R,495,R,892,R,121,R,60,R,61,R,1,Z,0,R,1,R,8,R,6,R,2,R,60,R,16,R,44,R,8,R,3,R,5,R,10,R,6,R,4,A,,A,,2025
229063,25,-2,1,R,4801,R,1679,R,3122,R,10,R,5,R,5,R,26,R,15,R,11,R,4120,R,1411,R,2709,R,375,R,155,R,220,R,2,R,1,R,1,R,32,R,14,R,18,R,177,R,54,R,123,R,0,R,0,R,0,R,59,R,24,R,35,A,,A,,2025
229063,32,-2,3,R,1540,R,584,R,956,R,4,R,1,R,3,R,55,R,25,R,30,R,1038,R,348,R,690,R,215,R,100,R,115,R,0,R,0,R,0,R,90,R,43,R,47,R,39,R,17,R,22,R,8,R,4,R,4,R,91,R,46,R,45,A,,A,,2025
229063,39,-2,1,R,574,R,238,R,336,R,2,R,1,R,1,R,4,R,3,R,1,R,460,R,189,R,271,R,64,R,30,R,34,R,1,R,1,R,0,R,11,R,6,R,5,R,21,R,3,R,18,R,0,R,0,R,0,R,11,R,5,R,6,A,,A,,2025
229063,40,-2,1,R,4227,R,1441,R,2786,R,8,R,4,R,4,R,22,R,12,R,10,R,3660,R,1222,R,2438,R,311,R,125,R,186,R,1,Z,0,R,1,R,21,R,8,R,13,R,156,R,51,R,105,R,0,R,0,R,0,R,48,R,19,R,29,A,,A,,2025
229063,41,-2,999,R,1840,R,694,R,1146,R,4,R,1,R,3,R,33,R,19,R,14,R,1523,R,553,R,970,R,157,R,59,R,98,R,2,R,1,R,1,R,41,R,23,R,18,R,48,R,21,R,27,R,3,R,2,R,1,R,29,R,15,R,14,A,,A,,2025
229063,42,-2,1,R,1290,R,519,R,771,R,3,R,1,R,2,R,17,R,12,R,5,R,1080,R,420,R,660,R,118,R,47,R,71,R,1,R,1,Z,0,R,24,R,16,R,8,R,40,R,17,R,23,R,2,R,2,Z,0,R,5,R,3,R,2,A,,A,,2025
229063,43,-2,1,R,1290,R,519,R,771,R,3,R,1,R,2,R,17,R,12,R,5,R,1080,R,420,R,660,R,118,R,47,R,71,R,1,R,1,Z,0,R,24,R,16,R,8,R,40,R,17,R,23,R,2,R,2,Z,0,R,5,R,3,R,2,A,,A,,2025
