UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
229027,R,4617.0,R,8903.0,R,52.0,R,4445.0,R,1.0,R,0.0,R,4444.0,R,3573.0,R,80.0,R,1077.0,R,0.0,R,0.0,R,1077.0,R,444.0,R,41.0,R,24.0,2022
229063,R,2139.0,R,2836.0,R,75.0,R,1272.0,Z,0.0,Z,0.0,R,1272.0,R,699.0,R,55.0,R,22.0,Z,0.0,Z,0.0,R,22.0,R,7.0,R,32.0,R,18.0,2022
229115,R,6691.0,R,9126.0,R,73.0,R,6490.0,R,2.0,Z,0.0,R,6488.0,R,5561.0,R,86.0,R,159.0,Z,0.0,Z,0.0,R,159.0,R,99.0,R,62.0,R,21.0,2022
229179,R,1321.0,R,3427.0,R,39.0,R,1227.0,R,0.0,R,0.0,R,1227.0,R,899.0,R,73.0,R,60.0,R,0.0,R,0.0,R,60.0,R,30.0,R,50.0,R,16.0,2022
229300,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,5.0,2022
229337,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,7.0,2022
229355,R,2058.0,R,4872.0,R,42.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20.0,2022
229504,R,161.0,R,440.0,R,37.0,R,169.0,Z,0.0,Z,0.0,R,169.0,R,62.0,R,37.0,R,128.0,Z,0.0,Z,0.0,R,128.0,R,56.0,R,44.0,R,14.0,2022
229540,R,290.0,R,1084.0,R,27.0,R,246.0,Z,0.0,Z,0.0,R,246.0,R,157.0,R,64.0,R,272.0,Z,0.0,Z,0.0,R,272.0,R,136.0,R,50.0,R,13.0,2022
229799,R,347.0,R,1079.0,R,32.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,21.0,2022
229814,R,1257.0,R,2162.0,R,58.0,R,1244.0,R,0.0,R,0.0,R,1244.0,R,847.0,R,68.0,R,48.0,R,0.0,R,0.0,R,48.0,R,22.0,R,46.0,R,17.0,2022
