UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,YEAR
222576,4,-2,1,R,1573,R,647,R,926,R,13,R,5,R,8,R,47,R,15,R,32,R,111,R,53,R,58,R,762,R,283,R,479,R,1,R,1,Z,0,R,568,R,251,R,317,R,51,R,27,R,24,R,20,R,12,R,8,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,5,-2,1,R,7798,R,2520,R,5278,R,54,R,19,R,35,R,220,R,85,R,135,R,562,R,198,R,364,R,3635,R,1146,R,2489,R,7,R,3,R,4,R,3046,R,983,R,2063,R,209,R,60,R,149,R,65,R,26,R,39,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,11,-2,1,R,2417,R,977,R,1440,R,20,R,7,R,13,R,90,R,33,R,57,R,63,R,24,R,39,R,842,R,336,R,506,Z,0,Z,0,Z,0,R,1289,R,529,R,760,R,85,R,39,R,46,R,28,R,9,R,19,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,19,-2,1,R,337,R,120,R,217,R,3,R,2,R,1,R,5,R,3,R,2,R,28,R,13,R,15,R,106,R,39,R,67,Z,0,Z,0,Z,0,R,179,R,61,R,118,R,13,R,2,R,11,R,3,Z,0,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,20,-2,1,R,7461,R,2400,R,5061,R,51,R,17,R,34,R,215,R,82,R,133,R,534,R,185,R,349,R,3529,R,1107,R,2422,R,7,R,3,R,4,R,2867,R,922,R,1945,R,196,R,58,R,138,R,62,R,26,R,36,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,21,-2,999,R,4087,R,1523,R,2564,R,35,R,10,R,25,R,134,R,49,R,85,R,274,R,114,R,160,R,1823,R,672,R,1151,R,6,R,4,R,2,R,1662,R,613,R,1049,R,122,R,48,R,74,R,31,R,13,R,18,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,22,-2,1,R,4087,R,1523,R,2564,R,35,R,10,R,25,R,134,R,49,R,85,R,274,R,114,R,160,R,1823,R,672,R,1151,R,6,R,4,R,2,R,1662,R,613,R,1049,R,122,R,48,R,74,R,31,R,13,R,18,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,23,-2,1,R,3878,R,1450,R,2428,R,32,R,10,R,22,R,128,R,47,R,81,R,271,R,113,R,158,R,1768,R,651,R,1117,R,6,R,4,R,2,R,1527,R,568,R,959,R,116,R,45,R,71,R,30,R,12,R,18,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,24,-2,1,R,869,R,371,R,498,R,5,R,2,R,3,R,32,R,8,R,24,R,49,R,24,R,25,R,418,R,167,R,251,R,1,R,1,Z,0,R,327,R,147,R,180,R,27,R,15,R,12,R,10,R,7,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,25,-2,1,R,3009,R,1079,R,1930,R,27,R,8,R,19,R,96,R,39,R,57,R,222,R,89,R,133,R,1350,R,484,R,866,R,5,R,3,R,2,R,1200,R,421,R,779,R,89,R,30,R,59,R,20,R,5,R,15,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
